short_name,long_name,nationality,club
N. Vidmar,Nejc Vidmar,Slovenia,Slovenia
L. Sekulski,Łukasz Sekulski,Poland,LKS Lodz
J. Clarke,James Clarke,England,Walsall
G. Pacheco,Guillermo Alfonso Pacheco Tudela,Chile,CD Universidad de Concepción
Sidnei Dalmeira,Sidnei Adrián Dalmeira Nunes,Brazil,Avaí FC
Marcelo Vildeia,Marcelo Emanuel Vildeia Maia,Brazil,Grêmio
Benjamin Muscato,Benjamin Chris Muscato Selva,Brazil,Chapecoense
Henrique Jardinel,Henrique Alex Jardinel Zonta,Brazil,CSA - AL
Paulito Zanon,Paulo Bernard Zanon Regalo,Brazil,Fortaleza
I. Hora,Ioan Hora,Romania,FCSB (Steaua)
R. Caballero,Roque Alfredo Caballero Marecos,Paraguay,Atlético Bucaramanga
M. Ogbu,Moses Ogbu,Nigeria,Grimsby Town
N. Ishihara,石原 直樹,Japan,Vegalta Sendai
Y. Rokutan,六反 勇治,Japan,Shimizu S-Pulse
K. Hachisuka,蜂須賀 孝治,Japan,Vegalta Sendai
Oh Jae Suk,오재석 吴宰硕,Korea Republic,FC Tokyo
J. Izumisawa,泉泽 仁,Japan,Yokohama F. Marinos
A. Hinestroza,Alexis Hinestroza,Colombia,Cúcuta Deportivo
S. Arai,新井 翔太,Japan,Kawasaki Frontale
K. Takayama,髙山 薫,Japan,Oita Trinita
S. Akasaki,赤﨑 秀平,Japan,Nagoya Grampus
H. Takasaki,Hiroyuki Takasaki,Japan,Matsumoto Yamaga
G. Kostadinov,Georgi Kostadinov,Bulgaria,Bulgaria
G. Heinry,Guillaume Heinry,France,FC Chambly Oise
M. Ambichl,Michael Ambichl,Austria,SKN St. Pölten
Nito Carbelho,Nito Wagner Carbelho Inácio,Brazil,Fluminense
D. Diaw,Davide Djily Diaw,Italy,Cittadella
N. Busch Thor,Niklas Busch Thor,Sweden,IK Sirius
Y. Kawai,河井 陽介,Japan,Shimizu S-Pulse
R. Takeuchi,竹内 涼,Japan,Shimizu S-Pulse
R. Janssen,Roel Janssen,Netherlands,VVV-Venlo
K. Gehring,Kai Gehring,Germany,SG Sonnenhof Großaspach
M. Röser,Martin Röser,Germany,Karlsruher SC
R. Eckardt,René Eckardt,Germany,FC Carl Zeiss Jena
A. Vetrih,Amedej Vetrih,Slovenia,Çaykur Rizespor
D. Akpeyi,Daniel Akpeyi,Nigeria,Kaizer Chiefs
F. Torres,Fabian Torres,Chile,Audax Italiano
A. Bjarnason,Andri Rúnar Bjarnason,Iceland,1. FC Kaiserslautern
S. Acka,Stephane Acka,Ivory Coast,Universitatea Craiova
B. Motshwari,Ben Motshwari,South Africa,Orlando Pirates
L. Mntambo,Linda Mntambo,South Africa,Orlando Pirates
A. Erceg,Ante Erceg,Croatia,Brøndby IF
Valverde,Carlos Valverde Doblado,Spain,Extremadura UD
Willy,Luis Alfonso Ledesma Galán,Spain,Extremadura UD
K. Jacobs,Keaghan Jacobs,South Africa,Livingston FC
F. Buchacher,Florian Buchacher,Austria,WSG Tirol
K. Mawatari,馬渡 和彰,Japan,Kawasaki Frontale
G. Compagnucci,Gabriel Compagnucci,Argentina,Patronato
M. Iida,Masaki Iida,Japan,Matsumoto Yamaga
J. Furdal,Johnny Furdal,Norway,Viking FK
R. Matsumoto,Rei Matsumoto,Japan,Oita Trinita
D. Ojeda,Delio Ojeda,Paraguay,Jaguares de Córdoba
M. Chudý,Martin Chudý,Slovakia,Górnik Zabrze
T. Tanaka,田中 達也,Japan,Oita Trinita
L. Klimavicius,Linas Klimavicius,Lithuania,Dinamo Bucureşti
V. Rîmniceanu,Victor Rîmniceanu,Romania,FC Voluntari
P. Ruffaut,Pierre Ruffaut,France,Rodez Aveyron Football
Jon Ander,Jon Ander Pérez Ruiz,Spain,Racing Santander
C. Cherchez,Cristian Cherchez,Romania,Chindia Târgovişte
M. Fernández,Mauro Fernández,Argentina,FC Juárez
A. Guechi,Abdelaziz Ali Guechi,Algeria,Al Adalah
Jô Santos,Joálisson Santos Oliveira,Brazil,FC Hermannstadt
T. Sakano,Toyofumi Sakano,Japan,Matsumoto Yamaga
A. Sy,Ass Mandaw Sy,Senegal,Al Adalah
T. Parrott,Troy Parrott,Republic of Ireland,Tottenham Hotspur
R. Piccoli,Roberto Piccoli,Italy,Atalanta
R. Brewster,Rhian Brewster,England,Liverpool
W. Geubbels,Willem Geubbels,France,AS Monaco
H. Cochrane,Harry Cochrane,Scotland,Heart of Midlothian
D. Caicedo,Deiber Jair Caicedo Mideros,Colombia,Deportivo Cali
E. Loiodice,Enzo Loiodice,France,Dijon FCO
E. Simms,Ellis Simms,England,Everton
G. Middleton,Glenn Middleton,Scotland,Hibernian
L. Pintor,Lenny Pintor,France,ESTAC Troyes
Rafael Camacho,Rafael Euclides Soares Camacho,Portugal,Sporting CP
E. Cerrillo,Edwin Cerrillo,United States,FC Dallas
C. Akono,Cyrill Akono,Germany,1. FSV Mainz 05
R. Aït Nouri,Rayan Aït Nouri,France,Angers SCO
B. Nygren,Benjamin Nygren,Sweden,KRC Genk
A. Yusuf,Alhassan Yusuf,Nigeria,IFK Göteborg
J. Sanabria,Juan Manuel Sanabria,Uruguay,Atlético Madrid
I. Lihadji,Isaac Lihadji,France,Olympique de Marseille
K. Grabara,Kamil Grabara,Poland,Huddersfield Town
Y. Akgün,Yunus Akgün,Turkey,Galatasaray SK
M. Payero,Martín Ismael Payero,Argentina,Club Atlético Talleres
André Anderson,André Anderson Pomilio Lima,Brazil,Lazio
Iñaki Peña,Ignacio Peña Sotorres,Spain,FC Barcelona
M. Ignatov,Mikhail Ignatov,Russia,Spartak Moscow
Mateu Morey,Mateu Jaume Morey Bauzá,Spain,Borussia Dortmund
J. Marković,Jovan Marković,Romania,Universitatea Craiova
T. Bayliss,Tom Bayliss,England,Preston North End
A. Ouattara,Abou Ouattara,Burkina Faso,LOSC Lille
L. Balerdi,Leonardo Julián Balerdi Rossa,Argentina,Borussia Dortmund
C. Abi,Charles Abi,France,AS Saint-Étienne
D. Pérez,Danny Pérez,Venezuela,CD Huachipato
J. Burkardt,Jonathan Burkardt,Germany,1. FSV Mainz 05
H. Hassan,Haissem Hassan,France,La Berrichonne de Châteauroux
A. Díaz,Alexander Díaz,Argentina,San Lorenzo de Almagro
F. Mura,Facundo Mura,Argentina,Estudiantes de La Plata
B. Aaronson,Brenden Aaronson,United States,Philadelphia Union
D. Kulusevski,Dejan Kulusevski,Sweden,Parma
M. Glushenkov,Maksim Glushenkov,Russia,Spartak Moscow
C. Niasse,Cheikh Niasse,Senegal,LOSC Lille
V. Postolachi,Virgiliu Postolachi,France,LOSC Lille
A. Stanilewicz,Adrian Stanilewicz,Poland,Bayer 04 Leverkusen
M. Taabouni,Mohamed Taabouni,Netherlands,AZ Alkmaar
Iker Losada,Iker Losada Aragunde,Spain,RC Celta
M. Feeney,Morgan Feeney,England,Everton
T. Nydam,Tristan Nydam,England,Ipswich Town
A. Connolly,Aaron Anthony Connolly,Republic of Ireland,Brighton & Hove Albion
F. Melegoni,Filippo Melegoni,Italy,Pescara
K. McAllister,Kyle McAllister,Scotland,St. Mirren
M. Nazarit,Miguel Ángel Nazarit Mina,Colombia,Once Caldas
Tachi,Alberto Rodríguez Baró,Spain,Deportivo Alavés
D. Lovren,Davor Lovren,Croatia,Fortuna Düsseldorf
Moha Ramos,Mohamed Airam Ramos Wade,Spain,Birmingham City
N. Pierini,Nicholas Pierini,Italy,Cosenza
J. Díaz Price,Jorge Díaz Price,Mexico,Club León
J. Ponceau,Julien Ponceau,France,FC Lorient
F. Evina,Franck Evina,Germany,KFC Uerdingen 05
E. Aiwu,Emanuel Aiwu,Austria,FC Admira Wacker Mödling
M. Kiprit,Muhammed Kiprit,Turkey,Hertha BSC
Martín,Martín Pascual Castillo,Spain,Rayo Vallecano
A. Moreno,Aníbal Moreno,Argentina,Newell's Old Boys
Lucas Ribeiro,Lucas Ribeiro dos Santos,Brazil,TSG 1899 Hoffenheim
W. Fofana,Wesley Fofana,France,AS Saint-Étienne
A. Kızıldağ,Arda Kızıldağ,Turkey,Gençlerbirliği SK
J. Davenport,Jacob Davenport,England,Blackburn Rovers
M. Tumminello,Marco Tumminello,Italy,Pescara
M. Travers,Mark Travers,Republic of Ireland,Bournemouth
J. Odgaard,Jens Odgaard,Denmark,SC Heerenveen
L. O'Brien,Lewis O'Brien,England,Huddersfield Town
L. Fomba,Lamine Fomba,France,AJ Auxerre
P. Dárdai,Palko Dárdai,Germany,Hertha BSC
I. Chair,Ilias Chair,Morocco,Queens Park Rangers
Jesús Areso,Jesús Areso Blanco,Spain,Athletic Club de Bilbao
A. Manneh,Alasana Manneh,Gambia,Górnik Zabrze
José Lara,José Alonso Alonso Lara,Spain,Sevilla FC
Toni Moya,Antonio Moya Vega,Spain,Atlético Madrid
B. Risa,Birk Risa,Norway,Odds BK
João Moutinho,João Gervásio Bragança Moutinho,Portugal,Orlando City SC
T. Christensen,Tobias Christensen,Norway,Molde FK
F. Agu,Felix Agu,Germany,VfL Osnabrück
O. Stijepović,Ognjen Stijepović,Montenegro,Sampdoria
V. Damașcan,Vitalie Damașcan,Moldova,Fortuna Sittard
L. Diaby Fadiga,Lamine Diaby Fadiga,France,OGC Nice
M. Collao,Marco Collao,Chile,CD Antofagasta
J. Teze,Jordan Teze,Netherlands,PSV
O. Ndiaye,Ousseynou Ndiaye,Senegal,Olympique Lyonnais
R. Sottil,Riccardo Sottil,Italy,Fiorentina
C. Ngonge,Cyril Ngonge,Belgium,Club Brugge KV
B. Özdemir,Berat Ayberk Özdemir,Turkey,Gençlerbirliği SK
R. Ion,Robert Ion,Romania,Academica Clinceni
O. Akgün,Oğuzhan Akgün,Turkey,Beşiktaş JK
U. Adıyaman,Übeyd Adıyaman,Turkey,Gençlerbirliği SK
G. Sağlam,Görkem Sağlam,Germany,VfL Bochum 1848
C. Tosun,Cafer Tosun,Turkey,Trabzonspor
T. Makowski,Tomasz Makowski,Poland,Lechia Gdańsk
A. Bakayoko,Axel Bakayoko,France,FC St. Gallen
L. Grill,Lennart Grill,Germany,1. FC Kaiserslautern
J. Knight,Josh Knight,England,Peterborough United
E. Mašović,Erhan Mašović,Serbia,AC Horsens
R. Dadashov,Renat Dadashov,Azerbaijan,FC Paços de Ferreira
L. Daschner,Lukas Daschner,Germany,MSV Duisburg
H. Mahou,Hicham Mahou,France,OGC Nice
Y. Sari,Yusuf Sari,Turkey,Trabzonspor
Álex Centelles,Alejandro Centelles Plaza,Spain,Famalicão
R. Massimo,Roberto Massimo,Germany,VfB Stuttgart
N. Atkinson,Nathaniel Atkinson,Australia,Melbourne City FC
T. Stavitski,Timo Stavitski,Finland,Stade Malherbe Caen
L. Fraser,Liam Fraser,Canada,Toronto FC
Jaime Sierra,Jaime Sierra Mateos,Spain,CD Leganés
L. Tupta,Ľubomír Tupta,Slovakia,Hellas Verona
A. El Bouchataoui,Achraf El Bouchataoui,Netherlands,Feyenoord
C. Vidal,Clément Vidal,France,Montpellier HSC
Sergio Moreno,Sergio Moreno Martínez,Spain,Rayo Vallecano
M. Busi,Maxime Busi,Belgium,Sporting de Charleroi
Baba Fernandes,Baba Fernandes,Guinea Bissau,Vitória de Setúbal
João Valido,João Nuno Figueiredo Valido,Portugal,Vitória de Setúbal
N. Hernández,Nicolás Hernández,Colombia,Independiente Santa Fe
Y. Hamed,Yasin Hamed,Romania,Sepsi OSK
S. Cabrera,Sebastián Cabrera,Chile,Coquimbo Unido
Dani Vivian,Daniel Vivian Moreno,Spain,Athletic Club de Bilbao
R. Poole,Regan Poole,Wales,Milton Keynes Dons
D. Bertaud,Dimitry Bertaud,France,Montpellier HSC
O. Gonzalez,Oumar Gonzalez,Cameroon,FC Chambly Oise
S. Wharton,Scott Wharton,England,Northampton Town
M. Köhlert,Mats Köhlert,Germany,Willem II
A. Quiñones,Angelo Quiñones,Chile,Unión La Calera
D. Anyembe,Daniel Anyembe,Denmark,Esbjerg fB
D. Nikolić,Djordje Nikolić,Serbia,FC Basel 1893
M. Nicolas,Moritz Nicolas,Germany,1. FC Union Berlin
C. Herc,Christián Herc,Slovakia,Viktoria Plzeň
A. Akkaynak,Atakan Akkaynak,Germany,Çaykur Rizespor
F. Figueroa,Francisco Antonio Figueroa Díaz,Mexico,Pachuca
Luís Silva,Luis Marques Almeida Vieira Silva,Portugal,Os Belenenses
M. Baku,Makana Baku,Germany,Holstein Kiel
T. Tillman,Timothy Tillman,Germany,Bayern München II
V. Demaku,Vesel Demaku,Austria,FK Austria Wien
F. Bersano,Fernando Bersano,Argentina,Club Atlético Talleres
Víctor López,Víctor López Ibáñez,Spain,Deportivo Alavés
N. Bazan,Nazareno Bazan,Argentina,Vélez Sarsfield
Jeon Se Jin,전세진 Se Jin Jeon,Korea Republic,Suwon Samsung Bluewings
C. Sickinger,Carlo Sickinger,Germany,1. FC Kaiserslautern
Carlos Isaac,Carlos Isaac Muñoz Obejero,Spain,Atlético Madrid
B. Slisz,Bartosz Slisz,Poland,Zagłębie Lubin
D. Valencia,Diego Martín Valencia Morello,Chile,Universidad Católica
A. Dobos,Áron Dobos,Hungary,Fortuna Sittard
O. Boussaid,Othman Boussaid,Belgium,FC Utrecht
D. Furtado,Damien Furtado,France,Rio Ave FC
Chema Nuñez,José Manuel Núñez Martín,Spain,UD Almería
A. Lupu,Andrei Lupu,Romania,Deportivo Alavés
Ibañez,Roger Ibañez Da Silva,Brazil,Atalanta
Z. Thior,Zourdine Thior,Senegal,Real Sociedad
Paulino,Paulino de la Fuente Gómez,Spain,Deportivo Alavés
Miguel Ángel,Miguel Ángel Gómez López,Spain,Albacete BP
Luquinha,Lucas Queiroz Canteiro,Brazil,Portimonense SC
Diogo Sousa,Diogo Fesnard Nogueira Sousa,Portugal,Sporting CP
D. Rosic,Dragan Rosic,Serbia,UD Almería
Dani Molina,Daniel Molina Orta,Spain,RC Celta
M. Torres,Marlon Torres,Colombia,América de Cali
K. Wojtkowski,Kamil Wojtkowski,Poland,Wisła Kraków
J. Jones,Jodi Jones,England,Coventry City
D. Barlaser,Daniel Barlaser,England,Rotherham United
J. Lewis,Jonathan Lewis,United States,Colorado Rapids
L. Zigi,Lawrence Ati Zigi,Ghana,FC Sochaux-Montbéliard
J. Marimón,Jesús Marimón,Colombia,Patriotas Boyacá FC
P. Sabbag,Pablo Sabbag,Colombia,La Equidad
B. Mason,Brandon Mason,England,Coventry City
J. Esquivel,José Joaquín Esquivel Martínez,Mexico,FC Juárez
C. D'Urso,Christian D'Urso,Italy,Cittadella
B. Passi,Bryan Passi,France,Chamois Niortais Football Club
H. Weigelt,Henri Weigelt,Germany,AZ Alkmaar
H. Al Shamrani,Hamdan Al Shamrani,Saudi Arabia,Al Ittihad
Song Bum Keun,송범근 Bum Keun Song,Korea Republic,Jeonbuk Hyundai Motors
T. Müller,Tom Müller,Germany,Hallescher FC
J. Eskesen,Julius Eskesen,Denmark,Odense Boldklub
K. Fila,Karol Fila,Poland,Lechia Gdańsk
Pelayo Suárez,Pelayo Suárez López,Spain,Real Sporting de Gijón
Murilo,Murilo Cerqueira Paim,Brazil,Lokomotiv Moscow
Y. Bourhane,Yacine Bourhane,France,Chamois Niortais Football Club
R. Lucena,Ronaldo Vidal Lucena Torrealba,Venezuela,Jaguares de Córdoba
E. Amenyido,Etienne Amenyido,Germany,VfL Osnabrück
F. Aksoy,Fatih Aksoy,Turkey,Sivasspor
Adrián López,Adrián López Garrote,Spain,RCD Espanyol
D. Martínez,David Martínez,Argentina,Defensa y Justicia
D. Lajud,Daniel Lajud Martínez,Mexico,Puebla FC
D. Fitz,Dominik Fitz,Austria,FK Austria Wien
O. Pikhalyonok,Oleksandr Pikhalyonok,Ukraine,Shakhtar Donetsk
David Alba,David Alba Fernández,Spain,Getafe CF
Z. Brault-Guillard,Zachary Brault-Guillard,Canada,Montreal Impact
D. Osei Yaw,Derick Osei Yaw,France,Stade Brestois 29
Vitinho,Victor da Silva,Brazil,KSV Cercle Brugge
E. Linthorst,Evert Linthorst,Netherlands,VVV-Venlo
M. Awoudja,Maxime Awoudja,Germany,VfB Stuttgart
Perera,Antonio Perera Calderón,Spain,Deportivo Alavés
B. Diakité,Bafodé Diakité,France,Toulouse Football Club
Jaume,Jaume Grau Ciscar,Spain,CD Lugo
A. Colorado,Andrés Colorado,Colombia,Deportivo Cali
André Almeida,Domingos André Ribeiro Almeida,Portugal,Vitória Guimarães
Riki,Ricardo Rodríguez Gil,Spain,Real Oviedo
Rui Pires,Rui Miguel Guerra Perres,Portugal,ESTAC Troyes
S. Botman,Sven Botman,Netherlands,SC Heerenveen
L. Štor,Luka Štor,Slovenia,SG Dynamo Dresden
L. Šatka,Ľubomír Šatka,Slovakia,Lech Poznań
K. Bryan,Kean Bryan,England,Sheffield United
M. Rudakov,Maksim Rudakov,Russia,HJK Helsinki
G. Kiltie,Greg Kiltie,Scotland,Kilmarnock
C. Chaplin,Conor Chaplin,England,Barnsley
M. Bola,Marc Bola,England,Middlesbrough
G. Scamacca,Gianluca Scamacca,Italy,Ascoli
C. Senior,Courtney Senior,England,Colchester United
A. Angulo,Álvaro Angulo,Colombia,Rionegro Águilas
M. Gómez,Michael Gómez,Colombia,Envigado FC
M. Listkowski,Marcin Listkowski,Poland,Pogoń Szczecin
L. de la Torre,Luca de la Torre,United States,Fulham
B. Hanlan,Brandon Hanlan,England,Gillingham
S. Hernández,José Santiago Hernández García,Mexico,Club Atlas
A. Ralston,Anthony Ralston,Scotland,Celtic
R. Sykes,Ross Sykes,England,Accrington Stanley
B. Morgado,Bruno Morgado,Switzerland,FC Sion
R. Kolo-Muani,Randal Kolo-Muani,France,FC Nantes
Kang Ji Hoon,강지훈 Ji Hoon Kang,Korea Republic,Gangwon FC
O. Kiomourtzoglou,Orestis Kiomourtzoglou,Germany,Heracles Almelo
A. Laukart,Alexander Laukart,Germany,FC Twente
B. Figueroa,Brian Figueroa,Mexico,U.N.A.M.
E. Bwomono,Elvis Bwomono,England,Southend United
T. Reijnders,Tijjani Reijnders,Netherlands,AZ Alkmaar
O. Reabciuk,Oleg Reabciuk,Moldova,FC Paços de Ferreira
S. McLoughlin,Sean McLoughlin,Republic of Ireland,St. Mirren
D. Hashioka,橋岡 大樹,Japan,Urawa Red Diamonds
E. Zehir,Ersin Zehir,Germany,FC St. Pauli
C. Mueller,Christopher Mueller,United States,Orlando City SC
Miguel Ángel,Miguel Ángel Rubio Lestan,Spain,CF Fuenlabrada
D. Wenzel-Halls,Dylan Wenzel-Halls,Australia,Brisbane Roar
F. Sgarbi,Filippo Sgarbi,Italy,Perugia
Victor Luiz,Victor Luiz Prestes Filho,Brazil,HJK Helsinki
A. Bussaglia,Andrea Bussaglia,Italy,Cittadella
M. Hjulmand,Morten Hjulmand,Denmark,FC Admira Wacker Mödling
P. Medina,Paolo Medina,Mexico,Monarcas Morelia
Alberto González,Alberto González Cespedosa,Spain,CD Mirandés
N. Schlotterbeck,Nico Schlotterbeck,Germany,SC Freiburg
M. Akçay,Mücahit Akçay,Turkey,Atiker Konyaspor
G. Simion,Gabriel Simion,Romania,Astra Giurgiu
R. Boboc,Radu Boboc,Romania,FC Viitorul
Miguel Marí,Miguel Marí Sánchez,Spain,SD Eibar
D. Abels,Dirk Abels,Netherlands,Sparta Rotterdam
I. Botella,Ivann Botella,France,RC Strasbourg Alsace
K. Watanabe,渡辺 皓太,Japan,Yokohama F. Marinos
M. O'Hara,Mark  O'Hara,Scotland,Peterborough United
M. Ingebrigtsen,Mikael Norø Ingebrigtsen,Norway,Tromsø IL
G. Zelalem,Gedion Zelalem,United States,Sporting Kansas City
R. Espejord,Runar Espejord,Norway,Tromsø IL
K. Dempsey,Kyle Dempsey,England,Fleetwood Town
C. Ogilvie,Connor Ogilvie,England,Gillingham
N. Breitenbruch,Néstor Adriel Breitenbruch,Argentina,Godoy Cruz
P. Pflücke,Patrick Pflücke,Germany,KFC Uerdingen 05
A. Cannon,Andy Cannon,England,Portsmouth
M. Litka,Maurice Litka,Germany,SC Preußen Münster
M. Rodriguez,Memo Rodriguez,United States,Houston Dynamo
B. Boutobba,Bilal Boutobba,France,Montpellier HSC
F. Barboza,Facundo Barboza,Argentina,Godoy Cruz
S. Saucedo,Sebastián Saucedo Mondragón,United States,Real Salt Lake
M. Payares,Martín Enrique Payares Campo,Colombia,Patriotas Boyacá FC
J. Gundersen,Jostein Gundersen,Norway,Tromsø IL
J. Dacres-Cogley,Josh Dacres-Cogley,England,Crawley Town
N. De Medina,Nathan De Medina,Belgium,Royal Excel Mouscron
C. Nwakali,Chidiebere Chijioke Nwakali,Nigeria,Kalmar FF
S. Nkansah,Steffen Nkansah,Germany,Eintracht Braunschweig
D. Oldaker,Darren Oldaker,England,Gillingham
J. Fitzwater,Jack Fitzwater,England,West Bromwich Albion
M. Lis,Mateusz Lis,Poland,Wisła Kraków
N. Kocik,Nicolas Kocik,France,Valenciennes FC
R. Tapia,Rodrigo Ernesto Tapia,Argentina,Club Atlético Banfield
K. Machida,町田 浩樹,Japan,Kashima Antlers
S. Floranus,Sherel Floranus,Netherlands,SC Heerenveen
V. Tranberg,Viktor Tranberg,Denmark,Esbjerg fB
Josín Martínez,José Antonio Martínez Álvarez,Spain,Real Oviedo
R. Ache,Ragnar Ache,Germany,Sparta Rotterdam
R. Oaidă,Răzvan Constantin Oaidă,Romania,FCSB (Steaua)
M. Thurnwald,Manuel Thurnwald,Austria,SCR Altach
P. Staikos,Paschalis Staikos,Greece,Panathinaikos FC
M. Soisalo,Mikael Soisalo,Finland,SV Zulte-Waregem
K. Lankford,Kevin Lankford,Germany,FC St. Pauli
A. Erlingmark,August Erlingmark,Sweden,IFK Göteborg
L. Riveros,Luis Riveros,Paraguay,CD Universidad de Concepción
R. Basque,Romain Basque,France,Le Havre AC
E. Banda,Emmanuel Banda,Zambia,KV Oostende
L. Lauberbach,Lion Lauberbach,Germany,Holstein Kiel
Y. Fekir,Yassin Fekir,France,Real Betis
G. Torres,Gustavo Torres,Colombia,Rionegro Águilas
Nuno Macedo,Nuno Alberto Macedo Pereira,Portugal,Moreirense FC
M. Merghem,Mehdi Merghem,France,En Avant de Guingamp
A. Jakubech,Adam Jakubech,Slovakia,LOSC Lille
S. Niakaté,Sikou Niakaté,France,En Avant de Guingamp
F. Florio,Filippo Florio,Italy,Pordenone
F. Quiroz,Franco Nicolás Quiroz,Argentina,Club Atlético Colón
M. Carabajal,Mateo Carabajal,Argentina,Arsenal de Sarandí
R. Rivas,Rigoberto Rivas,Honduras,Inter
J. Þorsteinsson,Jón Dagur Þorsteinsson,Iceland,Aarhus GF
Carlos Cordero,Carlos Cordero Pérez,Spain,Real Sporting de Gijón
L. Selahi,Lindon Selahi,Albania,FC Twente
S. Friede,Sidney Friede,Germany,Hertha BSC
I. Govea,Ismael Govea Solorzano,Mexico,Club Atlas
L. Ameka Autchanga,Louis Ameka Autchanga,Gabon,Chamois Niortais Football Club
N. Dieng,Nathanaël Dieng,France,Rodez Aveyron Football
V. Arveladze,Vato Arveladze,Georgia,Korona Kielce
J. Segre,Jacopo Segre,Italy,Torino
Ricardo Schutte,André Ricardo Ferreira Schutte,Portugal,Rio Ave FC
S. Briñone,Santiago Briñone,Argentina,Patronato
Jesús Fortes,Jesús Fortes Socas,Spain,UD Las Palmas
F. Cardozo,Fernando Cardozo,Paraguay,Boavista FC
M. Szczepański,Miłosz Szczepański,Poland,Raków Częstochowa
Maudo Jarjué,Maudo Lamine Jarjué,Guinea Bissau,FK Austria Wien
C. Brym,Charles-Andreas Brym,France,Os Belenenses
Jorge Vilela,Jorge Daniel Abreu Vilela,Portugal,Portimonense SC
S. Obeng,Samuel Obeng,Ghana,Real Oviedo
A. Belmonte,Anthony Belmonte,France,Grenoble Foot 38
J. Mitchell,Jonathan Mitchell,England,Derby County
O. Custodio,Olivier Custodio Da Costa,Switzerland,FC Lugano
M. Kallesøe,Mikkel Kallesøe,Denmark,Randers FC
M. Mbaye,Maodo Malick M'Baye,Senegal,Chievo Verona
N. Sutter,Nicola Sutter,Switzerland,FC Thun
R. Dickie,Rob Dickie,England,Oxford United
L. McGee,Luke McGee,England,Portsmouth
B. Collins,Bradley Collins,England,Barnsley
R. Hardie,Ryan Hardie,Scotland,Blackpool
A. Confais,Aloïs Confais,France,Le Mans FC
R. Escobar,Ricardo Antonio Escobar Acuña,Chile,Audax Italiano
S. Coulibaly,Séga Coulibaly,France,AS Nancy Lorraine
A. Walkes,Anton Walkes,England,Portsmouth
D. Kılıç,Doğanay Kılıç,Turkey,Göztepe SK
Hong Jeong Un,홍정운 洪俊涣,Korea Republic,Daegu FC
Lee Sang Heon,이상헌 Sang Heon Lee,Korea Republic,Ulsan Hyundai FC
F. Bjørkan,Fredrik André Bjørkan,Norway,FK Bodø/Glimt
S. Skytte,Sammy Skytte,Denmark,Stabæk Fotball
N. McGinley,Nathan McGinley,England,Forest Green Rovers
F. Buntić,Fabijan Buntić,Croatia,FC Ingolstadt 04
E. Huth,Elias Huth,Germany,FSV Zwickau
O. Christensen,Oliver Christensen,Denmark,Odense Boldklub
J. Cortizo,Jordi Cortizo,Mexico,Querétaro
Han Seung Gyu,한승규 韩承奎,Korea Republic,Jeonbuk Hyundai Motors
A. Danladi,Abu Danladi,Ghana,Minnesota United FC
E. Zaldívar,Edgar Zaldivar Valverde,Mexico,Club Atlas
N. Bazzana,Nicolás Bazzana,Argentina,Club Atlético Aldosivi
M. Dembélé,Malaly Dembélé,France,AS Nancy Lorraine
T. Chahed,Tarek Chahed,Germany,1. FC Magdeburg
F. Wagner,Fridolin Wagner,Germany,SC Preußen Münster
A. Dini,Andrea Dini,Italy,Trapani
F. García,Facundo García,Argentina,CD Leganés
F. Kusić,Filip Kusić,Serbia,FC Erzgebirge Aue
C. Hazard,Conor Hazard,Northern Ireland,Celtic
Bikoro,Federico Bikoro Akieme Nchama,Equatorial Guinea,Real Zaragoza
A. Spahic,Avdo Spahic,Bosnia Herzegovina,1. FC Kaiserslautern
E. Lomotey,Emmanuel Lomotey,Ghana,Extremadura UD
E. Gutiérrez,Edson Gutiérrez,Mexico,Monterrey
J. Guillemenot,Jérémy Guillemenot,Switzerland,FC St. Gallen
J. Vargas,Juan Pablo Vargas Campos,Costa Rica,Deportes Tolima
